player_id,player_name,team,nationality,position,market_value_eur,currency,contract_until
99545,"Danilo Pereira",Al-Ittihad,Portugal,,3400000,EUR,2027-06-30
100621,"Joshua King",Al-Khaleej,Norway,,1200000,EUR,2027-06-30
115577,"Kostas Fortounis","Olympiacos FC",Greece,,1600000,EUR,
126071,"Kalidou Koulibaly",Al-Hilal,Senegal,,4400000,EUR,2027-06-30
138892,"Jo\\u00e3o Cancelo",Al-Hilal,Portugal,,8600000,EUR,2027-06-30
158213,"Riyad Mahrez","No team",Algeria,,5200000,EUR,
182001,"Yannick Carrasco",Al-Shabab,Belgium,,4800000,EUR,2027-06-30
280955,"R\\u00faben Neves",Al-Hilal,Portugal,,24000000,EUR,2029-06-30
290927,"Ivan Toney",Al-Ahli,England,,22000000,EUR,2028-06-30
328745,"Ibrahim Zaied","No team","Saudi Arabia",,155000,EUR,
354808,"Sa\\u00efd Benrahma","Neom SC",Algeria,,8000000,EUR,2027-06-30
551772,Malcom,Al-Hilal,Brazil,,17400000,EUR,2027-06-30
843114,"Juli\\u00e1n Qui\\u00f1ones",Al-Qadsiah,Mexico,,12900000,EUR,2029-06-30
851671,"Jo\\u00e3o F\\u00e9lix",Al-Nassr,Portugal,,27000000,EUR,2027-06-30
869271,"Rakan Najjar",Al-Okhdood,"Saudi Arabia",,130000,EUR,
880790,"Mourad Batna",Al-Fateh,Morocco,,430000,EUR,2027-06-30
916680,"Musa Barrow","No team",Gambia,,5800000,EUR,
1086455,"\\u00c2ngelo",Al-Nassr,Brazil,,16200000,EUR,2029-06-30
1106234,"Musab Al Juwayr",Al-Qadsiah,"Saudi Arabia",,6300000,EUR,2030-06-30
1400846,"Mahamadou Doumbia",Al-Ittihad,Mali,,9800000,EUR,2030-06-30
3306,"Karim Benzema",Al-Hilal,France,,5200000,EUR,2027-06-30
39457,"Anthony Moris",Al-Khaleej,Luxembourg,,1200000,EUR,2027-06-30
160893,"Salem Al-Dawsari",Al-Hilal,"Saudi Arabia",,1200000,EUR,2027-06-30
